name,price,listings
Swift Claw,$ 7.79,27 on sale
Autographed Inverse Bayonet,$ 4.92,17 on sale
Dam'arakan Muzzle,$ 5.64,44 on sale
Jagged Honor Banner,$ 5.53,72 on sale
Blistering Shade,$ 5.64,65 on sale
Silent Wake,$ 8.03,92 on sale
Sullen Hollow,$ 7.33,22 on sale
Corrupted Umbral Glyph,$ 4.85,4 on sale
Corrupted Pyrexaec Flux,$ 3.93,5 on sale
Spirit of Calm,$ 0.78,11 on sale
Treasure of the Tangled Keepsake,$ 0.42,46 on sale
Rhinoceros Order,$ 0.49,35 on sale
Dragonfire,$ 0.36,25 on sale
The Wolf Hunter,$ 0.43,23 on sale
Inscribed Blessing of the Crested Umbra,$ 0.19,24 on sale
Exalted Voice of the Magus Cypher,$ 0.63,20 on sale
Inscribed Stoneforged Horns,$ 1.21,13 on sale
Fortune's Tout,$ 0.19,130 on sale
Genuine Rapier of the Burning God Offhand,$ 2.91,90 on sale
Genuine Rapier of the Burning God,$ 2.89,72 on sale
Inscribed Sylvan Cascade,$ 0.84,221 on sale
Inscribed Spirits of the Mothbinder,$ 0.24,7 on sale
Peregrine Flight,$ 0.79,258 on sale
Inscribed Blissful Knave Coat,$ 1.55,2 on sale
Inscribed Sinister Shadow Back,$ 0.59,3 on sale
Autographed Wings of the Arctic Recluse,$ 1.02,2 on sale
Inverse Bayonet,$ 4.92,36 on sale
Kinetic: Twin Deaths' Haunting,$ 0.25,19 on sale
Chaos Fulcrum,$ 0.32,81 on sale
Voice of Flockheart's Gamble,$ 0.61,19 on sale
Hidden Vector - Blade,$ 8.46,68 on sale
Golden Moonfall,$ 9.85,41 on sale
Jagged Honor Blade,$ 7.05,95 on sale
Autographed Golden Krobeling,$ 9.86,7 on sale
Righteous Thunderbolt,$ 7.71,37 on sale
Sea Rake's Bridle,$ 8.47,300 on sale
Shards of Exile,$ 6.01,14 on sale
Soul Shredder,$ 9.63,90 on sale
Helm of the Ardalan Interdictor,$ 9.86,24 on sale
Pyrexaec Floe,$ 6.63,104 on sale
Inscribed Scepter of the Grand Magus,$ 0.24,8 on sale
Autographed Merry Wanderer's Brush,$ 0.84,22 on sale
The Lightning Orchid,$ 1.24,57 on sale
Huntling,$ 1.09,20 on sale
Sullen Rampart,$ 3.44,123 on sale
International 2017 Autograph: Wang Yuno Jing,$ 0.22,6 on sale
Auspicious Ember Spirit's Hat,$ 0.85,9 on sale
Exalted Pauldrons of the Timekeeper,$ 0.33,18 on sale
Exalted Style of the Timekeeper,$ 0.28,8 on sale
First of the Flood,$ 0.19,539 on sale
Progenitor's Bane,$ 0.2,442 on sale
Scythes of Sorrow,$ 0.16,485 on sale
Censer of Gliss,$ 0.28,211 on sale
Shadow Masquerade,$ 0.58,106 on sale
Staff of Perplex,$ 4.93,35 on sale
Crux of Perplex,$ 1.7,192 on sale
Inscribed Vigil Signet,$ 0.59,213 on sale
Wrap of the Shifting Sorcerer,$ 0.25,29 on sale
Infused Dress of the Bewitching Flare,$ 0.62,102 on sale
Inscribed Colossal Crystal Chorus,$ 0.23,54 on sale
Lamb to the Slaughter,$ 5.22,25 on sale
Virga's Arc,$ 0.28,112 on sale
Mega-Kills: Rick and Morty,$ 1.99,47 on sale
Genuine Skittering Desolation,$ 5.48,84 on sale
Taunt: Bring It On,$ 0.58,128 on sale
Taunt: Ice Cold Baller,$ 0.28,109 on sale
Taunt: Fearless Cadence,$ 0.34,82 on sale
Taunt: Orderly Chaos,$ 0.3,34 on sale
Golden Bloodfeather Feast,$ 1.04,249 on sale
Voulge of the Andestian Sentinel,$ 0.78,85 on sale
Snowstorm Huntress,$ 0.38,40 on sale
Tail of the Scouring Dunes,$ 0.19,9 on sale
Headpiece of the Andestian Sentinel,$ 0.17,16 on sale
Taunt: Shaman Dance,$ 0.18,52 on sale
Taunt: Harsh Critique,$ 0.23,119 on sale
Taunt: Rolling Stone!,$ 0.45,58 on sale
Ire of the Hinterlands Garb,$ 0.17,13 on sale
Large Igneous Stone,$ 0.39,13 on sale
Medium Igneous Stone,$ 0.24,9 on sale
Small Igneous Stone,$ 0.23,10 on sale
Hood of Diviner's Embrace,$ 0.21,12 on sale
Judgement of the Fallen,$ 0.17,694 on sale
Inscribed Blissful Knave Rapier,$ 0.58,2 on sale
Inscribed Devourling,$ 2.51,1 on sale
Prismatic: Miasmatic Grey,$ 1.24,45 on sale
Prismatic: Dungeon Doom,$ 2.66,34 on sale
Ethereal: Ethereal Flame,$ 2.42,40 on sale
International 2019 Autograph: Chen AMS Juan,$ 0.31,40 on sale
Kinetic: Crow's Feet,$ 0.77,20 on sale
Inscribed Scavenging Guttleslug,$ 0.81,26 on sale
Inscribed Keeper of Oloxicam's Glass Belt,$ 0.77,3 on sale
Autographed Arms of Vile Reliquary,$ 1.38,2 on sale
Autographed Hood of the Spiteful Djinn,$ 2.98,1 on sale
Inscribed Pauldrons of Sacred Light,$ 0.24,5 on sale
Inscribed Robe of the Raikage Warrior,$ 0.47,7 on sale
Inscribed Touch of the Bewitching Flare,$ 0.57,6 on sale
Autographed Pauldrons of the Honored Servant of the Empire,$ 1.46,6 on sale
Autographed Armor of the Dragon Palace,$ 0.8,4 on sale
Belt of the Jade General,$ 0.85,18 on sale
Red Warrior,$ 0.5,7 on sale
Golden Twilight Schism,$ 0.22,548 on sale
Tiny Igneous Stone,$ 0.18,29 on sale
Inscribed Elixir of Dragon's Breath,$ 1.15,46 on sale
Horns of the Betrayer,$ 0.39,526 on sale
Redpaw,$ 0.19,18 on sale
Inscribed Tempest Revelation,$ 0.52,19 on sale
Inscribed Shearing Deposition,$ 0.77,13 on sale
Inscribed Transversant Soul,$ 0.61,29 on sale
Profane Union,$ 0.25,155 on sale
