name,price,listings,steam_listing,return
Swift Claw,7.79,27,16.15,80.28
Autographed Inverse Bayonet,4.92,17,6.85,21.07
Dam'arakan Muzzle,5.64,44,8.12,25.19
Jagged Honor Banner,5.53,72,8.2,28.94
Blistering Shade,5.64,65,7.77,19.8
Silent Wake,8.03,92,11.43,23.77
Sullen Hollow,7.33,22,9.68,14.83
Corrupted Umbral Glyph,4.85,4,5.93,6.32
Corrupted Pyrexaec Flux,3.93,5,6.04,33.64
Spirit of Calm,0.78,11,0.31,-65.44
Treasure of the Tangled Keepsake,0.42,46,0.4,-17.18
Rhinoceros Order,0.49,35,0.76,34.87
Dragonfire,0.36,25,0.74,78.74
The Wolf Hunter,0.43,23,0.66,33.47
Inscribed Blessing of the Crested Umbra,0.19,24,0.26,18.99
Exalted Voice of the Magus Cypher,0.63,20,0.59,-18.56
Inscribed Stoneforged Horns,1.21,13,2.34,68.16
Fortune's Tout,0.19,130,0.27,23.57
Genuine Rapier of the Burning God Offhand,2.91,90,3.69,10.26
Genuine Rapier of the Burning God,2.89,72,3.87,16.44
Inscribed Sylvan Cascade,0.84,221,1.19,23.19
Inscribed Spirits of the Mothbinder,0.24,7,0.14,-49.28
Peregrine Flight,0.79,258,1.19,30.99
Inscribed Blissful Knave Coat,1.55,2,0.28,-84.29
Inscribed Sinister Shadow Back,0.59,3,0.27,-60.21
Autographed Wings of the Arctic Recluse,1.02,2,1.15,-1.96
Inverse Bayonet,4.92,36,6.7,18.42
Kinetic: Twin Deaths' Haunting,0.25,19,0.17,-40.87
Chaos Fulcrum,0.32,81,0.48,30.43
Voice of Flockheart's Gamble,0.61,19,0.57,-18.75
Hidden Vector - Blade,8.46,68,12.6,29.51
Golden Moonfall,9.85,41,13.4,18.3
Jagged Honor Blade,7.05,95,10.17,25.44
Autographed Golden Krobeling,9.86,7,12.6,11.12
Righteous Thunderbolt,7.71,37,10.63,19.89
Sea Rake's Bridle,8.47,300,10.92,12.11
Shards of Exile,6.01,14,7.17,3.74
Soul Shredder,9.63,90,12.0,8.36
Helm of the Ardalan Interdictor,9.86,24,12.84,13.24
Pyrexaec Floe,6.63,104,9.24,21.19
Inscribed Scepter of the Grand Magus,0.24,8,0.29,5.07
Autographed Merry Wanderer's Brush,0.84,22,1.33,37.68
The Lightning Orchid,1.24,57,1.72,20.62
Huntling,1.09,20,1.4,11.69
Sullen Rampart,3.44,123,4.61,16.53
International 2017 Autograph: Wang Yuno Jing,0.22,6,0.19,-24.9
Auspicious Ember Spirit's Hat,0.85,9,0.87,-11.0
Exalted Pauldrons of the Timekeeper,0.33,18,0.49,29.12
Exalted Style of the Timekeeper,0.28,8,0.42,30.43
First of the Flood,0.19,539,0.29,32.72
Progenitor's Bane,0.2,442,0.29,26.09
Scythes of Sorrow,0.16,485,0.21,14.13
Censer of Gliss,0.28,211,0.43,33.54
Shadow Masquerade,0.58,106,0.73,9.45
Staff of Perplex,4.93,35,6.57,15.88
Crux of Perplex,1.7,192,2.27,16.11
Inscribed Vigil Signet,0.59,213,0.74,9.06
Wrap of the Shifting Sorcerer,0.25,29,0.36,25.22
Infused Dress of the Bewitching Flare,0.62,102,0.77,7.99
Inscribed Colossal Crystal Chorus,0.23,54,0.31,17.2
Lamb to the Slaughter,5.22,25,7.28,21.27
Virga's Arc,0.28,112,0.37,14.91
Mega-Kills: Rick and Morty,1.99,47,2.67,16.67
Genuine Skittering Desolation,5.48,84,7.5,19.01
Taunt: Bring It On,0.58,128,0.88,31.93
Taunt: Ice Cold Baller,0.28,109,0.52,61.49
Taunt: Fearless Cadence,0.34,82,0.5,27.88
Taunt: Orderly Chaos,0.3,34,0.48,39.13
Golden Bloodfeather Feast,1.04,249,1.52,27.09
Voulge of the Andestian Sentinel,0.78,85,0.92,2.56
Snowstorm Huntress,0.38,40,0.57,30.43
Tail of the Scouring Dunes,0.19,9,0.2,-8.47
Headpiece of the Andestian Sentinel,0.17,16,0.21,7.42
Taunt: Shaman Dance,0.18,52,0.29,40.1
Taunt: Harsh Critique,0.23,119,0.36,36.11
Taunt: Rolling Stone!,0.45,58,0.7,35.27
Ire of the Hinterlands Garb,0.17,13,0.18,-7.93
Large Igneous Stone,0.39,13,0.37,-17.5
Medium Igneous Stone,0.24,9,,
Small Igneous Stone,0.23,10,0.24,-9.26
Hood of Diviner's Embrace,0.21,12,0.29,20.08
Judgement of the Fallen,0.17,694,0.24,22.76
Inscribed Blissful Knave Rapier,0.58,2,0.18,-73.01
Inscribed Devourling,2.51,1,0.36,-87.53
Prismatic: Miasmatic Grey,1.24,45,1.84,29.03
Prismatic: Dungeon Doom,2.66,34,3.29,7.55
Ethereal: Ethereal Flame,2.42,40,2.96,6.36
International 2019 Autograph: Chen AMS Juan,0.31,40,0.13,-63.53
Kinetic: Crow's Feet,0.77,20,1.18,33.26
Inscribed Scavenging Guttleslug,0.81,26,1.01,8.43
Inscribed Keeper of Oloxicam's Glass Belt,0.77,3,0.19,-78.54
Autographed Arms of Vile Reliquary,1.38,2,2.11,32.96
Autographed Hood of the Spiteful Djinn,2.98,1,0.97,-71.7
Inscribed Pauldrons of Sacred Light,0.24,5,0.25,-9.42
Inscribed Robe of the Raikage Warrior,0.47,7,0.27,-50.05
Inscribed Touch of the Bewitching Flare,0.57,6,0.48,-26.77
Autographed Pauldrons of the Honored Servant of the Empire,1.46,6,3.28,95.35
Autographed Armor of the Dragon Palace,0.8,4,0.84,-8.7
Belt of the Jade General,0.85,18,1.15,17.65
Red Warrior,0.5,7,0.71,23.48
Golden Twilight Schism,0.22,548,0.29,14.62
Tiny Igneous Stone,0.18,29,0.28,35.27
Inscribed Elixir of Dragon's Breath,1.15,46,1.56,17.96
Horns of the Betrayer,0.39,526,0.59,31.55
Redpaw,0.19,18,0.24,9.84
Inscribed Tempest Revelation,0.52,19,0.53,-11.37
Inscribed Shearing Deposition,0.77,13,0.99,11.8
Inscribed Transversant Soul,0.61,29,0.7,-0.21
Profane Union,0.25,155,0.39,35.65
Maraxiform's Ire,0.18,164,0.26,25.6
Pale Augur,0.59,72,,
Catalyst Cap,0.35,21,0.46,14.29
Inscribed Focal Resonance,3.1,103,4.22,18.37
Acid Hydra,0.36,6,0.4,-3.38
Adoring Wingfall,0.43,85,0.59,19.31
Aghanim's Basher,1.41,24,1.98,22.11
Almond the Frondillo,1.77,186,2.54,24.79
Bitter Lineage,2.01,173,2.9,25.46
Severing Lash,0.72,131,1.07,29.23
Heroic Headdress of the Ember Crane,0.27,9,0.27,-13.04
Inscribed Strongback the Swift,8.65,5,13.92,39.93
Inscribed The Order of Cyprin,0.52,21,0.46,-23.08
Mandate of the Stormborn,1.1,204,1.64,29.64
Inscribed The Lightning Orchid,1.17,183,1.63,21.14
Off-Hand Weapon of the Forgotten Plane,0.35,21,0.39,-3.11
Glaive of Oscilla,2.12,60,3.0,23.05
Hydrakan Latch,1.37,164,1.93,22.5
Golden Edge of the Lost Order,0.84,273,1.09,12.84
Wings of the Foulfell Corruptor,1.1,29,1.58,24.9
Armor of the Foulfell Corruptor,4.86,31,6.92,23.81
Autographed Mantle of the Whispered Bond,1.06,52,1.68,37.82
Inscribed Fin King's Charm,1.18,113,1.58,16.43
Autographed Tail of Elder Convergence,2.36,1,2.38,-12.31
Autographed Helm of Unfettered Malevolence,2.36,2,0.43,-84.16
Tiny Frostmoot,3.93,28,5.64,24.79
Large Frostmoot,7.23,7,9.04,8.73
Small Frostmoot,2.52,25,3.69,27.33
Medium Frostmoot,2.66,15,3.24,5.92
Fluttering Mortis,0.89,9,1.24,21.15
Golden Crucible of Rile,0.36,349,0.54,30.43
Paragon's Rebuke,0.16,167,0.24,30.43
Phantom Concord,0.36,219,0.52,25.6
Mane of the Sunwarrior,1.44,69,2.13,28.62
Mecha Boots of Travel Mk III,0.45,33,0.5,-3.38
Hidden Vector - Hat,2.53,23,3.06,5.17
Apogee of the Guardian Flame,2.45,268,3.3,17.13
Reaper's Wreath,2.16,349,3.18,28.02
Affront of the Overseer,1.17,22,1.61,19.66
Chains of Vile Convocation,1.22,19,1.69,20.46
Genuine Serrakura,2.41,131,2.99,7.88
Maraxiform's Fate Bundle,0.3,267,0.42,21.74
Golden Piscean Pulverizer,1.41,130,1.99,22.73
Relic Blade of the Kuur-Ishiminari,0.39,32,0.4,-10.81
The Spoils of Dezun,1.68,80,2.37,22.67
Surly Bogstomper Fishclub,0.4,18,0.12,-73.91
Armor of Dirgesworn Dynasty,0.78,3,0.23,-74.36
Helm of Dirgesworn Dynasty,0.47,7,0.15,-72.25
Winter Lineage Hunter's Dawn Torch,0.37,4,0.16,-62.4
Little Blink Dagger,0.8,32,0.87,-5.43
Crown of Vile Convocation,2.34,12,2.65,-1.52
Trove Carafe 2019,2.38,553,3.52,28.61
