name,sell_price,sell_listings
1 Minas E-Sports,$3.46,4
100 Compendium Levels - Fall 2015,$0.00,0
100-Proof Jug,$0.18,87
1000 Year Beast Ability Points,$0.00,0
11 Compendium Levels - Fall 2015,$0.00,0
200 Compendium Points 2014,$0.00,0
2013 National Electronic Sports Tournament,$6.58,1
2014 National Electronic Sports Tournament,$1.69,14
2014 National Electronic Sports Tournament Ticket,$0.11,33
2014 Player Card Pack,$0.00,0
2014 Player Card: 1437,$0.00,0
2014 Player Card: AdmiralBulldog,$0.00,0
2014 Player Card: Akke,$0.00,0
2014 Player Card: Alwayswannafly,$0.00,0
2014 Player Card: ARS-ART,$0.00,0
2014 Player Card: Arteezy,$0.00,0
2014 Player Card: Aui_2000,$0.00,0
2014 Player Card: Ayo,$0.00,0
2014 Player Card: banana,$0.00,0
2014 Player Card: Black,$0.00,0
2014 Player Card: Bone7,$0.00,0
2014 Player Card: Brax,$0.00,0
2014 Player Card: BuLba,$0.00,0
2014 Player Card: Burning,$0.00,0
2014 Player Card: Chuan,$0.00,0
2014 Player Card: DD,$0.00,0
2014 Player Card: DDC,$0.00,0
2014 Player Card: ddz,$0.00,0
2014 Player Card: demons,$0.00,0
2014 Player Card: Dendi,$0.00,0
2014 Player Card: EGM,$0.00,0
2014 Player Card: Era,$0.00,0
2014 Player Card: EternalEnvy,$0.00,0
2014 Player Card: Faith,$0.00,0
2014 Player Card: FATA,$0.00,0
2014 Player Card: Fear,$0.00,0
2014 Player Card: Fenrir,$0.00,0
2014 Player Card: Ferrari_430,$0.00,0
2014 Player Card: Fly,$0.00,0
2014 Player Card: Fogged,$0.00,0
2014 Player Card: FoREv,$0.00,0
2014 Player Card: Funn1k,$0.00,0
2014 Player Card: fy,$0.00,0
2014 Player Card: God,$0.00,0
2014 Player Card: H4nn1,$0.00,0
2014 Player Card: Hao,$0.00,0
2014 Player Card: Heen,$0.00,0
2014 Player Card: IceIceIce,$0.00,0
2014 Player Card: IllidanSTR,$0.00,0
2014 Player Card: inflame,$0.00,0
2014 Player Card: JoHnNy,$0.00,0
2014 Player Card: JotM,$0.00,0
2014 Player Card: June,$0.00,0
2014 Player Card: Korok,$0.00,0
2014 Player Card: Kuroky,$0.00,0
2014 Player Card: KyXy,$0.00,0
2014 Player Card: Lance,$0.00,0
2014 Player Card: Lanm,$0.00,0
2014 Player Card: Lin,$0.00,0
2014 Player Card: Loda,$0.00,0
2014 Player Card: Luo,$0.00,0
2014 Player Card: Mag,$0.00,0
2014 Player Card: March,$0.00,0
2014 Player Card: Mason,$0.00,0
2014 Player Card: MiSeRy,$0.00,0
2014 Player Card: MMY,$0.00,0
2014 Player Card: MOZuN-,$0.00,0
2014 Player Card: MSS,$0.00,0
2014 Player Card: Mu,$0.00,0
2014 Player Card: Mushi,$0.00,0
2014 Player Card: N0tail,$0.00,0
2014 Player Card: Net,$0.00,0
2014 Player Card: NS,$0.00,0
2014 Player Card: Ohaiyo,$0.00,0
2014 Player Card: Pajkatt,$0.00,0
2014 Player Card: paS,$0.00,0
2014 Player Card: Pegasus,$0.00,0
2014 Player Card: PieLieDie,$0.00,0
2014 Player Card: PPD,$0.00,0
2014 Player Card: Puppey,$0.00,0
2014 Player Card: QO,$0.00,0
2014 Player Card: qojqva,$0.00,0
2014 Player Card: Rabbit,$0.00,0
2014 Player Card: Reisen,$0.00,0
2014 Player Card: Resolut1on,$0.00,0
2014 Player Card: ROTK,$0.00,0
2014 Player Card: s4,$0.00,0
2014 Player Card: SanSheng,$0.00,0
2014 Player Card: Silent,$0.00,0
2014 Player Card: SingSing,$0.00,0
2014 Player Card: Sneyking,$0.00,0
2014 Player Card: Super,$0.00,0
2014 Player Card: Sylar,$0.00,0
2014 Player Card: TC,$0.00,0
2014 Player Card: Trixi,$0.00,0
2014 Player Card: Universe,$0.00,0
2014 Player Card: Vanskor,$0.00,0
2014 Player Card: Wayto,$0.00,0
2014 Player Card: XBOCT,$0.00,0
2014 Player Card: Xiangzaiii,$0.00,0
2014 Player Card: xiao8,$0.00,0
2014 Player Card: Xtinct,$0.00,0
2014 Player Card: Yamateh,$0.00,0
2014 Player Card: Yao,$0.00,0
2014 Player Card: YYF,$0.00,0
2014 Player Card: Zai,$0.00,0
2015 Champaign DOTA 2 League,"$1,906.82",1
2015 MarsTV Dota 2 League,$1.11,7
2015 Rescuer MDL,$0.80,10
2015 Rescuer MDL Bundle,$88.61,3
2016 Player Card Pack,$0.00,0
24 Compendium Levels - Fall 2015,$0.00,0
2400 Year Beast Ability Points,$0.00,0
25 Compendium Points,$0.00,0
3rd BoraDota Cup,$7.48,3
4ce Autograph Avatar - The International 2021,$0.05,180
4liver Autograph Avatar - The International 2021,$0.07,45
5 Compendium Levels - Fall 2015,$0.00,0
64QuartersCup Season 1,$22.10,2
78 Autograph Avatar - The International 2021,$0.11,11
9pasha Autograph Avatar - The International 2021,$0.05,124
A Bit of Boat,$0.26,179
A Dire Gaze,$0.10,123
Abdomen of Perception,$0.03,1387
Abdomen of the Abysm,$0.04,109
Abdomen of the Amber Queen,$0.03,589
